Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T00:00:00.000000+0000,44,68,,3.7,,4.9,5,0.27,7.46,0.1,,,,,,19.5,95,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T00:15:00.000000+0000,44,68,,3.8,,4.8,9.4,0.25,7.06,0.1,,,,,,19.5,96,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T00:30:00.000000+0000,44,68,,3.8,,4.9,5.9,,7.45,0.1,,,,,,19.5,96,0.2,83,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T00:45:00.000000+0000,53,83,,3.8,,4.9,1.3,0.29,7.56,0.1,,,,,,19.1,96,0.3,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T01:00:00.000000+0000,53,83,,3.7,,4.9,,0.32,6.86,0.1,,,,,,19.1,97,0.3,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T01:15:00.000000+0000,53,83,,3.7,,4.9,8.3,0.32,8.06,0.1,,,,,,19.1,97,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T01:30:00.000000+0000,53,83,,3.8,,4.9,4.4,0.3,8.74,0.1,,,,,,19.1,97,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T01:45:00.000000+0000,55,75,,3.9,,4.9,0.9,0.28,7.69,0.1,,,,,,18.7,98,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T02:00:00.000000+0000,55,75,,3.9,,4.9,3.8,0.27,6.89,0.1,,,,,,18.7,99,0.3,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T02:15:00.000000+0000,55,75,,3.9,,4.9,5.9,0.25,7.04,0.1,,,,,,18.7,,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T02:30:00.000000+0000,55,75,,3.9,,4.9,2.7,0.23,7.83,0.1,,,,,,18.7,,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T02:45:00.000000+0000,51,69,,3.8,,4.9,1.3,0.21,7.43,0.1,,,,,,18.1,,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T03:00:00.000000+0000,51,69,,3.8,,4.9,,0.23,8.24,0.1,,,,,,18.1,,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T03:15:00.000000+0000,51,69,,3.7,,4.9,4.3,0.19,7.7,0.1,,,,,,18.1,,0.2,,,,,,
site_1554,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",2024-01-01T03:30:00.000000+0000,51,69,,3.7,,4.9,4.9,0.17,7.46,0.1,,,,,,18.1,,0.2,,,,,,
